when,branch,sha,status,problems,applied
2026-09-26 00:30,claude/brain-briefing,d316078f,applied,0,1
2026-09-26 06:29,claude/brain-briefing,cb67354a,applied,0,1
2026-09-26 06:29,claude/brain-daily,130ac876,applied,0,3
2026-09-26 06:29,claude/brain-weekly,75c25785,applied,0,4
